URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url1,https://notes.abhishekpali.us/,0.0,234,0,0,0,None,Not found = first published time,Not found = last updated time,notes - palis - website,Posts | Pali's Notes website,Pali's Notes website
url2,https://notes.abhishekpali.us/about/,0.1,20,17,0,0,None,Not found = first published time,Not found = last updated time,httpswwwconceprocom - themethanks - notes - site - check - website - aboutthis - palis - creator - visiting,About | Pali's Notes website,Pali's Notes website
url3,https://notes.abhishekpali.us/anagrams-for-my-name/,0.0,50,0,0,0,None,Not found = first published time,Not found = last updated time,anagrams,Anagrams for My Name | Pali's Notes website,Pali's Notes website
url4,https://notes.abhishekpali.us/astavakra-samhita-astavakra-gita-summary/,35.5,8355,7526,0,0,None,Not found = first published time,Not found = last updated time,does - pure - gita - astavakra - wise - self - universe - summary - mind - desire - free - samhita - knowledge - world,Astavakra Samhita (Astavakra Gita) - A Summary | Pali's Notes website,Pali's Notes website
url5,https://notes.abhishekpali.us/bash-script-which-joins-two-csv-files-with-columns/,0.7,156,140,0,0,None,Not found = first published time,Not found = last updated time,ve - separator - files - sorting - bash - url - switch - separated - column - columns - joins - output - csv - script,Bash Script Which Joins Two CSV Files With Columns | Pali's Notes website,Pali's Notes website
url6,https://notes.abhishekpali.us/codex-google-ads-code-replaced-by-amazon-affiliate-code/,0.0,49,0,0,0,None,Not found = first published time,Not found = last updated time,ads - affiliate - codexgoogle - amazon - replaced - code,Codex-Google Ads code replaced by Amazon Affiliate code | Pali's Notes website,Pali's Notes website
url7,https://notes.abhishekpali.us/codex-imagemagick-writing-text-to-images/,1.5,297,317,0,0,None,Not found = first published time,Not found = last updated time,font - jpg - writing - text - using - codeximagemagick - size - gravity - background - images - f,Codex-ImageMagick Writing text to images | Pali's Notes website,Pali's Notes website
url8,https://notes.abhishekpali.us/codex-palis-books-code-for-ms-excel/,1.1,241,228,0,0,None,Not found = first published time,Not found = last updated time,secrets - codexpalis - bookscodeformsexcel - srcchar34imagefaquotesrightpngchar34 - successful - subtitle - business - srcchar34imagefaquotesleftpngchar34 - marketing - rules - srcchar34imagegoldennuggetpngchar34 - run,Codex-Palis Books-code-for-MS-Excel | Pali's Notes website,Pali's Notes website
url9,https://notes.abhishekpali.us/codex-various-social-media-sites-website-colors-codes/,0.4,128,78,0,0,None,Not found = first published time,Not found = last updated time,codes - social - tag2 - views - tweets - codexvarious - colors - likes - youtube - website - style - media - span - br - fontsize2em - twitter - sites,Codex-Various Social Media Sites Website Colors Codes | Pali's Notes website,Pali's Notes website
url10,https://notes.abhishekpali.us/concepro-example-email-subject-lines-that-work/,0.0,63,0,0,0,None,Not found = first published time,Not found = last updated time,email - work - example - lines - concepro - subject,Concepro - Example email subject lines that work | Pali's Notes website,Pali's Notes website
url11,https://notes.abhishekpali.us/concepro-new-colors-rgb-hex-hsl/,0.0,43,0,0,0,None,Not found = first published time,Not found = last updated time,colors - hex - hsl - concepro - rgb,Concepro - New Colors RGB HEX HSL | Pali's Notes website,Pali's Notes website
url12,https://notes.abhishekpali.us/concepro-plan-for-concepro-mailing-and-marketing-activities/,0.2,72,38,0,0,None,Not found = first published time,Not found = last updated time,slideshare - mailing - powerpoint - plan - video - potential - graphic - youtube - somebody - posts - upload - marketing - concepro - day - activities,Concepro - Plan for Concepro mailing and marketing activities | Pali's Notes website,Pali's Notes website
url13,https://notes.abhishekpali.us/header-and-subheader-for-website-abhishekpaliwal-com/,0.2,35,35,0,0,None,Not found = first published time,Not found = last updated time,sales - headerandsubheaderforwebsiteabhishekpaliwalcom - websitetagline - tag2site - positioning - title - paliwal - tag1 - strategist - psychology - strengthening,Header-and-subheader-for-website-AbhishekPaliwal-com | Pali's Notes website,Pali's Notes website
url14,https://notes.abhishekpali.us/ideax-100-sales-questions/,0.7,865,147,0,0,None,Not found = first published time,Not found = last updated time,sales - conversation - using - way - wrongthe - volume - ideax100 - words - best - questions - youre,Ideax-100 Sales Questions | Pali's Notes website,Pali's Notes website
url15,https://notes.abhishekpali.us/ideax-palis-immdediate-work-plan/,0.1,57,29,0,0,None,Not found = first published time,Not found = last updated time,schedulers - tools - social - content - plan - video - immdediate - remarkable - ideaxpalis - taken - megaphoneapp - work - week - rest,Ideax-Palis immdediate work plan | Pali's Notes website,Pali's Notes website
url16,https://notes.abhishekpali.us/mggk-anu-book-widget-content/,0.7,81,153,0,0,None,Not found = first published time,Not found = last updated time,div - content - p - book - img - anupama - widget - href - mggkanu - src - paliwal - mygingergarlickitchencom - anupama_dreams,MGGK-Anu Book Widget content | Pali's Notes website,Pali's Notes website
url17,https://notes.abhishekpali.us/microsoft-excel-tutorial-for-merging-columns-for-bc-platforms/,0.5,146,101,0,0,None,Not found = first published time,Not found = last updated time,email - platforms - country - video - excel - bc - merging - google - columns - tutorial - continent - microsoft - vlookup,Microsoft Excel - Tutorial For Merging Columns For Bc Platforms | Pali's Notes website,Pali's Notes website
url18,https://notes.abhishekpali.us/pali-photoshop-portrait-retouching-steps-and-tutorial/,0.8,183,177,0,0,None,Not found = first published time,Not found = last updated time,mode - hard - frequency - check - skin - youtube - texture - tutorial - paliphotoshopportraitretouchingstepsandtutorial - layer - separation,Pali-photoshop-portrait-retouching-steps-and-tutorial | Pali's Notes website,Pali's Notes website
url19,https://notes.abhishekpali.us/post/,0.0,234,0,0,0,None,Not found = first published time,Not found = last updated time,notes - palis - website,Posts | Pali's Notes website,Pali's Notes website
url20,https://notes.abhishekpali.us/python-text-to-speech-using-google-tts/,0.3,58,72,0,0,None,Not found = first published time,Not found = last updated time,data - tts - myfile - using - google - speech - gtts - ttsnov - text - python - tag2save,Python - Text To Speech Using Google TTS | Pali's Notes website,Pali's Notes website
url21,https://notes.abhishekpali.us/python-using-chrome-driver-in-selenium/,0.3,60,71,0,0,None,Not found = first published time,Not found = last updated time,driver - your_element_id - webdriver - import - url - using - selenium - chrome - python - expanduser,Python - Using Chrome Driver in Selenium | Pali's Notes website,Pali's Notes website
url22,https://notes.abhishekpali.us/python2-parsing-webpages-using-gzip-compression/,0.4,121,82,0,0,None,Not found = first published time,Not found = last updated time,compression - parsing - python2 - url - using - webpages - return - soup - this_script_namepyfromstringioimportimportgzipimporturllib2contentencodinggzipifelse - python - work - gzip - run - webpage,Python2 - Parsing webpages using GZIP compression | Pali's Notes website,Pali's Notes website
url23,https://notes.abhishekpali.us/quotes-by-champions/,0.3,99,73,0,0,None,Not found = first published time,Not found = last updated time,quotes - thats - write - way - training - woods - tiger - things - tag2there - tag1 - work - champions,Quotes by champions | Pali's Notes website,Pali's Notes website
url24,https://notes.abhishekpali.us/quotes-thought-by-pali/,0.4,157,84,0,0,None,Not found = first published time,Not found = last updated time,quotes - quit - winning - pain - thoughtby - way - somebody - win - success - pali - learn - thats - push,Quotes thought-by Pali | Pali's Notes website,Pali's Notes website
url25,https://notes.abhishekpali.us/styles-syntaxes-for-our-wallpaper20-creator/,0.0,63,0,0,0,None,Not found = first published time,Not found = last updated time,syntaxes - styles - creator - wallpaper20,Styles Syntaxes For Our Wallpaper20 Creator | Pali's Notes website,Pali's Notes website
